description,"key_id","key_name",value
Malware,"customfield_15048",Zone,Malware
Network,"customfield_15048",Zone,Network
"Threat Intelligence","customfield_15048",Zone,"Threat Intelligence"
None,"customfield_15048",Zone,None
"Recorded Future","customfield_15025","CTI Source","Recorded Future"
RiskIQ,"customfield_15025","CTI Source",RiskIQ
Anomali,"customfield_15025","CTI Source",Anomali
ThreatConnect,"customfield_15025","CTI Source",ThreatConnect
"H-ISAC","customfield_15025","CTI Source","H-ISAC"
"Government Agency Alert","customfield_15025","CTI Source","Government Agency Alert"
Spycloud,"customfield_15025","CTI Source",Spycloud
iSOC,"customfield_15025","CTI Source",iSOC
TVM,"customfield_15025","CTI Source",TVM
AppSec,"customfield_15025","CTI Source",AppSec
NetSec,"customfield_15025","CTI Source",NetSec
"Red Team","customfield_15025","CTI Source","Red Team"
Hunt,"customfield_15025","CTI Source",Hunt
Forensics,"customfield_15025","CTI Source",Forensics
"NH-ISAC: Amber List Emails","customfield_15025","CTI Source","NH-ISAC: Amber List Emails"
"NH-ISAC: Green Feed","customfield_15025","CTI Source","NH-ISAC: Green Feed"
"NH-ISAC:  Amber List","customfield_15025","CTI Source","NH-ISAC:  Amber List"
"NH-ISAC: Amber Feed","customfield_15025","CTI Source","NH-ISAC: Amber Feed"
"NH-ISAC:  ChatRoom Reports","customfield_15025","CTI Source","NH-ISAC:  ChatRoom Reports"
"Qintel: Crosslink","customfield_15025","CTI Source","Qintel: Crosslink"
"Qintel: Qwatch","customfield_15025","CTI Source","Qintel: Qwatch"
"NH-ISAC: ChatRoom Reports","customfield_15025","CTI Source","NH-ISAC: ChatRoom Reports"
"Qintel: Qsentry","customfield_15025","CTI Source","Qintel: Qsentry"
"Osint: News Report","customfield_15025","CTI Source","Osint: News Report"
"Osint: Investigations","customfield_15025","CTI Source","Osint: Investigations"
"Osint: Research","customfield_15025","CTI Source","Osint: Research"
AutoFocus,"customfield_15025","CTI Source",AutoFocus
MineMeld,"customfield_15025","CTI Source",MineMeld
"ESM Alerts","customfield_15025","CTI Source","ESM Alerts"
"Level 3 ATI","customfield_15025","CTI Source","Level 3 ATI"
BadPanda,"customfield_15025","CTI Source",BadPanda
None,"customfield_15025","CTI Source",None
None,"customfield_15025","CTI Source",None
False,"customfield_14504","SOC-Escalated",False
True,"customfield_14504","SOC-Escalated",True
None,"customfield_14504","SOC-Escalated",None
Splunk,"customfield_14857",SIEM,Splunk
"McAfee ESM","customfield_14857",SIEM,"McAfee ESM"
None,"customfield_14857",SIEM,None
"North America","customfield_15027","Region(s)","North America"
Europe,"customfield_15027","Region(s)",Europe
None,"customfield_15027","Region(s)",None
Yes,"customfield_16407","Handled by Automation",Yes
None,"customfield_16407","Handled by Automation",None
"BU-Austria","customfield_14509","SOC-BU2","BU-Austria"
"BU-Belgium","customfield_14509","SOC-BU2","BU-Belgium"
"BU-Denmark","customfield_14509","SOC-BU2","BU-Denmark"
"BU-France","customfield_14509","SOC-BU2","BU-France"
"BU-Germany","customfield_14509","SOC-BU2","BU-Germany"
"BU-Ireland","customfield_14509","SOC-BU2","BU-Ireland"
"BU-Italy","customfield_14509","SOC-BU2","BU-Italy"
"BU-Lithuania","customfield_14509","SOC-BU2","BU-Lithuania"
"BU-Norway","customfield_14509","SOC-BU2","BU-Norway"
"BU-Portugal","customfield_14509","SOC-BU2","BU-Portugal"
"BU-Slovenia","customfield_14509","SOC-BU2","BU-Slovenia"
"BU-Sweden","customfield_14509","SOC-BU2","BU-Sweden"
"BU-UK","customfield_14509","SOC-BU2","BU-UK"
